Headline,Statements,Verification,Source,Label,Cross reference
PH holds USD26.3-T untapped oil deposits,China has been constructing infrastructures in the Spratlys to lay claim to the islands.,TRUE,Duterte Daily Stories,Not Credible,https://www.asil.org/insights/volume/19/issue/15/chinas-shifting-sands-spratlys
PH holds USD26.3-T untapped oil deposits,Former President Ferdinand E. Marcos issued Presidential Decree 1596 in 1978 to strengthen the Philippine claim over the Kalayaan Island Group (KIG).,TRUE,Duterte Daily Stories,Not Credible,Presidential Decree No. 1596
Fourth graders too young to undergo drug testing',Senate President Tito Sotto suggested implementing the DARE (drug abuse resistance education) program for Grade 6 and up instead of mandatory drug testing for younger students.,TRUE,Manila TImes,Credible,https://legacy.senate.gov.ph/press_release/2010/1126_sotto1.asp
Fourth graders too young to undergo drug testing',"Several lawmakers and education advocates oppose PDEA's plan for mandatory drug testing from fourth grade onward, citing concerns about cost and potential harm to children.",TRUE,Manila TImes,Credible,https://newsinfo.inquirer.net/1003412/deped-solons-oppose-drug-tests-on-grade-schoolers
Fourth graders too young to undergo drug testing',"Gary Alejano emphasized the need to prioritize efforts against major drug traffickers, pointing out a significant drug smuggling case that remains unsolved.",TRUE,Manila TImes,Credible,https://newsinfo.inquirer.net/1003412/deped-solons-oppose-drug-tests-on-grade-schoolers
POPE FRANCIS EXCOMMUNICATES PHILIPPINES SOCIAL WELFARE SECRETARY DINKY SOLIMAN,Social Welfare Secretary Dinky Soliman admitted to having homeless individuals rounded up before Pope Francis' visit to Manila.,TRUE,Adobo Chronicles,Not credible,https://newsinfo.inquirer.net/668280/dswd-chief-admits-homeless-rounded-up-in-line-with-pope-francis-ph-visit
POPE FRANCIS EXCOMMUNICATES PHILIPPINES SOCIAL WELFARE SECRETARY DINKY SOLIMAN,"Pope Francis issued a pastoral document that effectively excommunicated Soliman from the Catholic Church for hiding the poor during his visit, stating he came to be with them and their concealment was unacceptable.",FALSE,Adobo Chronicles,Not credible,There is no reliable news source supporting this statement.
POPE FRANCIS EXCOMMUNICATES PHILIPPINES SOCIAL WELFARE SECRETARY DINKY SOLIMAN,"In response to Soliman's actions, Pope Francis announced plans for a private visit later in the year to Manila to spend time with the homeless and children who were displaced during his official visit.",FALSE,Adobo Chronicles,Not credible,"Pope Francis has only visited the Philippines once, in January 2015, when he stayed from the 15th to the 19th."
Suicide bomber kills religious official in Afghan city,"A suicide bomber in Jalalabad, Afghanistan, targeted and killed Abdul Zaher Haqqani, a senior religious official in Nangarhar province, along with his bodyguard.",TRUE,Manila Bulletin,Credible,https://www.reuters.com/article/world/suicide-bomber-kills-muslim-official-in-afghan-city-idUSKCN1GJ1OA/
Suicide bomber kills religious official in Afghan city,"Ataullah Khogyani, the provincial governor's spokesman, reported that the suicide bomber approached Haqqani near a bridge and detonated his explosives close to Haqqani's car.",TRUE,Manila Bulletin,Credible,https://www.reuters.com/article/world/suicide-bomber-kills-muslim-official-in-afghan-city-idUSKCN1GJ1OA/
Suicide bomber kills religious official in Afghan city,"The attack occurred in Nangarhar province, known for its instability and as a base for both Islamic State militants and ongoing conflicts between the government and Taliban forces.",TRUE,Manila Bulletin,Credible,https://www.reuters.com/article/world/suicide-bomber-kills-muslim-official-in-afghan-city-idUSKCN1GJ1OA/
"IT MAY BE RAINING SPIDERS IN AUSTRALIA, BUT IT'S RAINING FECES IN PENNSYLVANIA","There were reports of it raining spiders in Goulburn, Australia.",FALSE,,Not Credible,"Though a number of news outlets ran with the idea that spiders were indeed raining or falling from the sky in Australia, this particular flurry of arachnids was not of the meteorological variety. Residents of Goulburn were likely witnessing a phenomenon where baby spiders climb onto the top of bushes, trees or other vegetation and produce strings of silk. A breeze picks them up, and they float along along on the wind. https://www.smithsonianmag.com/smart-news/no-its-not-really-raining-spiders-australia-180955327/"
"IT MAY BE RAINING SPIDERS IN AUSTRALIA, BUT IT'S RAINING FECES IN PENNSYLVANIA","Human waste was seen dropping on a Sweet 16 birthday party in Levittown, Pennsylvania, U.S.A reportedly dropped from a passing airplane.",FALSE,,Not Credible,"This was reported as an airline regulatory complaint. While formally filed to the FAA as an official complaint, further investigations confirmed that this is very unlikely to happen. Reference: https://wgntv.com/news/airplane-dumps-human-feces-on-girls-sweet-16-party-family-says/"
U.S. EXPORTS CHICKEN TO CHINA THEN IMPORTS BACK FAKE CHICKEN,"The U.S. exports chicken to China, which then exports fake chicken back to the U.S.",FALSE,Adobo Chronicles,Not Credible,"This grossly exagerrated and unverified claim is part of a satirical narrative. The Adobo Chronicles, where the article was taken from, is known for publishing fictional and humorous content."
U.S. EXPORTS CHICKEN TO CHINA THEN IMPORTS BACK FAKE CHICKEN,The U.S. Department of Agriculture (USDA) approved four Chinese companies to export cooked poultry products to the United States in 2014,TRUE,"While the article this statement was taken from is satirical and labeled as not credible, The statement itself is in fact true, provided some context. In 2014, the USDA did approve Chinese plants to process and export poultry to the U.S., but only if the chicken was sourced from approved countries. Reference: https://eu.usatoday.com/story/news/factcheck/2022/07/15/fact-check-years-old-usda-rule-allows-china-process-us-poultry/10031250002/",Not Credible,"While the article this statement was taken from is satirical and labeled as not credible, The statement itself is in fact true, provided some context. In 2014, the USDA did approve Chinese plants to process and export poultry to the U.S., but only if the chicken was sourced from approved countries. Reference: https://eu.usatoday.com/story/news/factcheck/2022/07/15/fact-check-years-old-usda-rule-allows-china-process-us-poultry/10031250002/"
U.S. EXPORTS CHICKEN TO CHINA THEN IMPORTS BACK FAKE CHICKEN,Chinese companies are manufacturing fake chicken using organic and inorganic ingredients.,FALSE,"Exaggerated/Unverified. While there have been reports of food safety issues in China, the specific claim of widespread fake chicken manufacturing lacks concrete evidence and is presented humorously in the article.",Not Credible,"This statement is likely exagerrated and unverified. While there have been reports of food safety issues in China, the specific claim of widespread fake chicken manufacturing lacks concrete evidence and is presented humorously in the article."
